pair,frame,label,cell_id,n_contour_points,mean_curvature,max_abs_curvature,mean_fluorescence,max_fluorescence
Spn3-GFP_Sad1-mCh_080724_013,0,20,Spn3-GFP_Sad1-mCh_080724_013_f0000_l20,300,0.012664921894360548,0.034940162565300206,248.704443359375,380.587890625
Spn3-GFP_Sad1-mCh_080724_013,0,21,Spn3-GFP_Sad1-mCh_080724_013_f0000_l21,300,0.013108334610957603,0.08175306567030201,283.34128946940103,948.1650390625
Spn3-GFP_Sad1-mCh_080724_013,0,34,Spn3-GFP_Sad1-mCh_080724_013_f0000_l34,300,0.013676679075651557,0.06793202993357138,275.955810546875,1081.05810546875
Spn3-GFP_Sad1-mCh_080724_015,0,1,Spn3-GFP_Sad1-mCh_080724_015_f0000_l1,300,0.01664517764773215,0.05698262357409717,369.82404541015626,2149.197265625
Spn3-GFP_Sad1-mCh_080724_015,0,7,Spn3-GFP_Sad1-mCh_080724_015_f0000_l7,300,0.01638319000842868,0.05224434721305888,372.6298620605469,1956.301513671875
Spn3-GFP_Sad1-mCh_080724_015,0,10,Spn3-GFP_Sad1-mCh_080724_015_f0000_l10,300,0.01577073567370776,0.06729140152237259,380.90715291341144,2071.033203125
Spn3-GFP_Sad1-mCh_080724_015,0,11,Spn3-GFP_Sad1-mCh_080724_015_f0000_l11,300,0.01623005860248635,0.050384039168726996,401.02848470052083,2336.28955078125
Spn3-GFP_Sad1-mCh_080724_015,0,12,Spn3-GFP_Sad1-mCh_080724_015_f0000_l12,300,0.0109723625015791,0.04693366605584573,326.4593196614583,1598.447265625
Spn3-GFP_Sad1-mCh_080724_015,0,13,Spn3-GFP_Sad1-mCh_080724_015_f0000_l13,300,0.01087583945047998,0.06492611624379695,257.38668334960937,443.1282958984375
Spn3-GFP_Sad1-mCh_080724_015,0,14,Spn3-GFP_Sad1-mCh_080724_015_f0000_l14,300,0.01252475809780503,0.05264688512549655,251.76736287434895,423.685546875
Spn3-GFP_Sad1-mCh_080724_015,0,15,Spn3-GFP_Sad1-mCh_080724_015_f0000_l15,300,0.01339303101842324,0.056393355287743314,325.7075272623698,1083.421875
Spn3-GFP_Sad1-mCh_080724_015,0,16,Spn3-GFP_Sad1-mCh_080724_015_f0000_l16,300,0.015032322083753871,0.06568516109266605,339.30763549804686,1255.765625
Spn3-GFP_Sad1-mCh_080724_015,0,17,Spn3-GFP_Sad1-mCh_080724_015_f0000_l17,300,0.01598515091239088,0.05578653930323917,353.68787109375,1540.994384765625
Spn3-GFP_Sad1-mCh_080724_015,0,18,Spn3-GFP_Sad1-mCh_080724_015_f0000_l18,300,0.014826352403773436,0.058008377185332145,305.76165201822914,1348.06884765625
Spn3-GFP_Sad1-mCh_080724_015,0,19,Spn3-GFP_Sad1-mCh_080724_015_f0000_l19,300,0.010653150816489283,0.05598543822881818,236.47932820638022,475.811279296875
Spn3-GFP_Sad1-mCh_080724_015,0,25,Spn3-GFP_Sad1-mCh_080724_015_f0000_l25,300,0.012181961680667193,0.040031107749000754,261.4598974609375,452.479736328125
Spn3-GFP_Sad1-mCh_080724_015,0,27,Spn3-GFP_Sad1-mCh_080724_015_f0000_l27,300,0.015576415588755482,0.06286769850413805,465.3977762858073,2594.70166015625
